field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,,,,,%time  1759798013049710000
-0.003048475,-0.011619466,0.876483972,-0.481281147,0.001280695,-0.107156985,-0.14161229,,,,,1.76E+18
-0.003050581,-0.011622735,0.876495422,-0.481260202,-0.000953996,-0.113118481,-0.165228073,,,,,1.76E+18
-0.003051794,-0.011621669,0.876493132,-0.48126439,0.001919543,-0.120670437,-0.152174441,,,,,1.76E+18
-0.003049389,-0.011614949,0.876484843,-0.481279664,0.000944036,-0.116000676,-0.125574285,,,,,1.76E+18
-0.003049791,-0.011614982,0.876476979,-0.481293981,0.001698396,-0.10739033,-0.111891527,,,,,1.76E+18
-0.003041385,-0.011605424,0.876478141,-0.481292149,0.000888357,-0.10068322,-0.126562078,,,,,1.76E+18
-0.003039373,-0.011611041,0.876483313,-0.481282607,0.000481361,-0.107075329,-0.156963225,,,,,1.76E+18
-0.00303181,-0.01161556,0.876489951,-0.481270457,0.000437184,-0.113813728,-0.16575684,,,,,1.76E+18
-0.003033026,-0.011609865,0.876490583,-0.481269436,0.001026196,-0.114355289,-0.142173736,,,,,1.76E+18
-0.003033825,-0.011604315,0.876487016,-0.481276062,-0.000370185,-0.111461819,-0.115210865,,,,,1.76E+18
-0.003025632,-0.011603756,0.876483498,-0.481282532,-0.000668223,-0.104175203,-0.117056219,,,,,1.76E+18
-0.003024012,-0.01161238,0.87648788,-0.481274355,-0.000399363,-0.104271743,-0.140728072,,,,,1.76E+18
-0.003027708,-0.011615665,0.876499152,-0.481253723,0.00121621,-0.109644022,-0.163487494,,,,,1.76E+18
-0.003026603,-0.011619565,0.876505737,-0.481241642,0.000544114,-0.11530687,-0.157767356,,,,,1.76E+18
-0.003030445,-0.011616808,0.87649763,-0.48125645,0.000465325,-0.112533003,-0.126322433,,,,,1.76E+18
-0.003036159,-0.01161216,0.876489724,-0.481270926,0.000798789,-0.106994437,-0.107882672,,,,,1.76E+18
-0.003032958,-0.01161302,0.876498844,-0.481254315,0.00039851,-0.101472296,-0.121144961,,,,,1.76E+18
